jb_id|release_day|release_month|release_year|jb_title
75|14|05|2018|For Your Eyes Only with John Ross Bowie
76|21|05|2018|On Her Majesty’s Secret Slideshow
77|28|05|2018|The Spy Who Loved Me with James Bladon
78|05|06|2018|The Women of Bond with Dani Snow
79|11|06|2018|Dr. No with Molly Hawkey
80|18|06|2018|Austin Powers with Brian Aubert
81|25|06|2018|Casino of Solace Part 1 with Amanda Lund and Maria Blasucci
82|02|07|2018|Casino of Solace Part 2 with Amanda Lund and Maria Blasucci
83|09|07|2018|The Spy Who Shagged Me
84|16|07|2018|Never Say Never Again with Ben Blacker
85|23|07|2018|Goldmember
86|30|07|2018|Season 2 Finale
87|09|10|2018|Mission Briefing: Director News And Podcast Return Update!
88|18|02|2019|Season 3 Fantasy Bond Draft (w/ James Bladon, Mark McConville)
89|26|02|2019|Bonus: Dr. No Commentary
90|04|03|2019|On Your Commentary’s Secret Service!
91|12|03|2019|Bonus: Live From The London Podcast Festival!
92|18|03|2019|James Bonding AMA
93|26|03|2019|Bonus: Live and Let Die Commentary
94|01|04|2019|Living Daylights Commentary
95|09|04|2019|Bonus: Goldeneye Commentary
96|15|04|2019|James Bonding Fantasy Film Draft 2
97|23|04|2019|Bonus: Special Edition-ing The Bond Films
98|29|04|2019|James Bonding Cocktail Party Podcast Part 1
99|07|05|2019|Bonus: James Bonding Cocktail Party Podcast Part 2
100|13|05|2019|Bond 25 Press Conference Breakdown
101|21|05|2019|Bonus: Casino Royale Commentary
102|27|05|2019|Quantum of Solace Commentary
103|04|06|2019|Bonus: A Live And Let Die Tarot Reading
104|10|06|2019|Diamonds Are Forever Commentary
105|18|06|2019|Bonus: Die Another Day Commentary
106|24|06|2019|007 Shadow Draft
107|02|07|2019|Bonus: Licence To Kill Commentary
108|08|07|2019|A View To A Kill Commentary
109|16|07|2019|Bonus: BOND25 RUMOR VS. FACT
110|22|07|2019|Tomorrow Never Dies Commentary
111|30|07|2019|Bonus: Octopussy Commentary
112|04|12|2019|MISSION BRIEFING: No Time To Die Trailer Breakdown
113|28|01|2020|Live from SF Sketchfest 2020!
114|22|09|2021|No Time To Die Is Nigh
115|11|10|2021|No Time To Die Discussed!
116|04|10|2022|JAMES BONDING BACK CATALOGUE RE-RELEASE AND CATCH-UP
117|01|03|2023|INDIANA JONESING: RAIDERS OF THE LOST ARK
118|18|04|2023|INDIANA JONESING: TEMPLE OF DOOM
119|06|06|2023|INDIANA JONESING: LAST CRUSADE
120|19|06|2023|INDIANA JONESING: KINGDOM OF THE CRYSTAL SKULL
121|01|07|2023|INDIANA JONESING: DIAL OF DESTINY
